Temperature dependence of enthalpy
  T       Zn(NO3)2         NH2CH2COOH       C6H8O7           O2               ZnO              CO2              H2O              N2               C                
458       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82128.175491    -92474.285508    -56479.219200    1133.164417      474.598289       
459       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82116.943120    -92463.732575    -56470.791290    1140.349984      478.180576       
460       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82105.705021    -92453.173281    -56462.360920    1147.536700      481.768222       
461       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82094.461222    -92442.607654    -56453.928090    1154.724562      485.361201       
462       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82083.211752    -92432.035722    -56445.492800    1161.913570      488.959483       
463       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82071.956642    -92421.457512    -56437.055050    1169.103720      492.563043       
464       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82060.695918    -92410.873051    -56428.614840    1176.295013      496.171854       
465       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82049.429610    -92400.282365    -56420.172170    1183.487445      499.785889       
466       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82038.157745    -92389.685482    -56411.727040    1190.681017      503.405122       
467       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82026.880352    -92379.082427    -56403.279450    1197.875725      507.029527       
468       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82015.597458    -92368.473228    -56394.829400    1205.071569      510.659078       
469       -110182.400000   -122699.120000   -360566.320000   1099.828701      -82004.309091    -92357.857908    -56386.376890    1212.268548      514.293749       
470       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81993.015277    -92347.236495    -56377.921920    1219.466659      517.933515       
471       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81981.716044    -92336.609014    -56369.464490    1226.665901      521.578351       
472       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81970.411417    -92325.975490    -56361.004600    1233.866272      525.228231       
473       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81959.101425    -92315.335947    -56352.542250    1241.067772      528.883132       
474       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81947.786092    -92304.690412    -56344.077440    1248.270399      532.543028       
475       -110182.400000   -122699.120000   -360566.320000   1099.828701      -81936.465446    -92294.038907    -56335.610170    1255.474152      536.207896       
